ITEM: TIMESTEP
4080000
ITEM: NUMBER OF ATOMS
9276
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type q x y z 
1 4 1.38327 0.022632 25.3328 21.4846 
2 3 -0.82686 7.62323 36.2722 21.7434 
3 3 -0.775824 36.7935 9.66142 13.7181 
4 4 1.69062 16.6637 5.39115 8.4474 
5 3 -0.631538 12.3817 36.3014 40.5741 
6 3 -0.752532 26.1844 33.3671 43.4875 
7 4 1.58731 0.253962 38.8742 32.9217 
8 3 -0.843501 38.1494 35.5369 9.06368 
9 3 -0.788268 1.01491 24.7448 13.8418 
10 4 1.62009 2.28957 22.6239 48.1033 
11 3 -0.722251 3.07573 18.0887 45.686 
12 3 -0.712667 1.85241 42.334 38.6593 
13 4 1.63227 37.8137 19.4184 24.8955 
14 3 -0.860119 27.2384 34.8062 11.5574 
15 3 -0.7159 46.6387 12.8348 5.90786 
16 4 1.649 5.72055 42.5818 14.1873 
17 3 -0.807282 10.0466 5.6176 31.3374 
18 3 -0.86647 27.3176 8.66173 19.8101 
19 4 1.43188 26.4337 23.47 35.4993 
20 3 -0.787703 32.3468 35.6716 24.5033 
21 3 -0.775767 40.919 13.1331 19.6177 
22 4 1.34107 34.8784 10.522 31.6637 
23 3 -0.823958 0.414408 39.5335 22.058 
24 3 -0.841412 46.643 36.4714 22.3019 
25 4 1.59245 26.3551 29.9669 15.1654 
26 3 -0.787464 3.9668 0.496185 48.4307 
27 3 -0.842327 0.156097 15.7212 18.7754 
28 4 1.61215 45.3609 44.5319 7.65379 
29 3 -0.690084 27.0473 40.3445 38.505 
30 3 -0.876179 40.4709 27.8483 49.4323 
31 4 1.53139 0.913739 37.371 8.82103 
32 3 -0.822584 29.3431 3.73157 6.82032 
33 3 -0.828627 23.9089 11.4868 16.3849 
34 4 1.55407 18.7678 28.6285 29.7839 
35 3 -0.880235 12.7995 27.8479 34.761 
36 3 -0.820291 42.6197 13.694 11.0298 
37 4 1.60741 44.0371 26.3039 48.5764 
38 3 -0.675925 17.5406 17.0115 16.9762 
39 3 -0.756677 4.62723 33.1112 36.1434 
40 4 1.50361 4.59906 45.2233 1.46548 
41 3 -0.743479 39.2342 18.4054 32.0036 
42 3 -0.795495 32.2846 40.2536 41.6818 
43 4 1.59397 44.3351 0.38275 7.94134 
44 3 -0.777821 37.3912 14.1585 44.0034 
45 3 -0.795914 7.88317 17.0134 47.8878 
46 4 1.54994 46.6298 10.8175 12.2914 
47 3 -0.836729 38.551 4.66062 10.6934 
48 3 -0.806242 34.9213 2.61543 26.5458 
49 4 1.39718 12.6268 45.7807 44.6883 
50 3 -0.788934 36.5444 35.4808 25.5058 
51 3 -0.815437 34.8182 42.6014 37.9596 
52 4 1.54731 19.6883 43.2937 16.5104 
53 3 -0.774787 26.4216 39.2413 3.76104 
54 3 -0.769985 45.4659 15.8815 39.5058 
55 4 1.59896 31.3312 39.0657 6.85583 
56 3 -0.883462 34.4131 1.10278 4.76424 
57 3 -0.711981 43.0929 28.8708 44.4719 
58 4 1.6309 48.3469 26.5381 48.9579 
59 3 -0.831098 4.97921 44.2928 0.28566 
60 3 -0.582978 39.5297 35.38 42.8357 
61 4 1.51668 34.8972 20.835 13.9601 
62 3 -0.808186 24.8456 33.1503 31.6724 
63 3 -0.823538 30.2323 39.3298 10.2643 
64 4 1.5918 34.2186 12.9225 13.2008 
65 3 -0.818788 18.4994 20.8388 33.7918 
66 3 -0.795669 41.8507 34.4017 21.0692 
67 4 1.48675 29.1807 14.757 23.312 
68 3 -0.860296 22.8412 14.425 48.3004 
69 3 -0.76397 5.41575 32.7483 40.8792 
70 4 1.50464 8.62971 23.2713 8.33157 
71 3 -0.86154 41.7127 26.2832 2.9483 
72 3 -0.862599 23.9003 39.9574 27.2502 
73 4 1.4953 49.2502 49.7068 39.0714 
74 3 -0.717183 30.0674 30.1615 9.80756 
75 3 -0.840949 48.8079 4.58203 41.718 
76 4 1.54758 45.5872 2.89968 43.7754 
77 3 -0.798462 3.34794 2.5167 36.8438 
78 3 -0.79169 8.69718 5.44273 22.8534 
79 4 1.62832 30.3677 33.1055 16.3008 
80 3 -0.68852 20.8703 41.271 38.0214 
81 3 -0.870933 28.298 38.826 15.7165 
82 4 1.61294 38.3656 46.0623 49.9096 
83 3 -0.771272 4.03984 17.6382 40.8092 
84 3 -0.806836 20.1498 27.1905 4.10658 
85 4 1.3617 5.00632 17.1087 34.465 
86 3 -0.78522 13.6484 4.93271 3.95898 
87 3 -0.843317 17.4896 49.1279 6.48606 
88 4 1.73683 1.22912 29.5221 24.1229 
89 3 -0.769686 47.6233 6.91467 44.7506 
90 3 -0.918212 47.5331 3.70257 3.11918 
91 4 1.62463 10.5985 6.17565 34.9474 
92 3 -0.780108 35.4138 11.3093 24.0196 
93 3 -0.763242 32.8229 16.0586 30.3378 
94 4 1.47969 6.04966 22.6743 45.4689 
95 3 -0.728581 42.6165 13.8014 44.505 
96 3 -0.848092 46.3704 44.4266 6.43052 
97 4 1.25621 16.0639 29.7394 23.829 
98 3 -0.846206 13.4371 33.7061 22.6011 
99 3 -0.807806 35.2681 11.1986 20.8023 
100 4 1.41504 25.6176 21.2434 24.4283 
101 3 -0.770544 31.1325 13.6488 35.1496 
102 3 -0.803769 26.1891 49.1118 21.0253 
103 4 1.54837 10.1744 44.1844 14.9472 
104 3 -0.851337 22.5218 16.4155 41.3484 
105 3 -0.71551 17.7387 45.7238 9.07308 
106 4 1.65391 7.07463 39.8512 35.1906 
107 3 -0.803255 6.20925 36.9459 0.72217 
108 3 -0.779871 36.3274 28.8357 44.2577 
109 4 1.63251 31.2179 49.3244 6.32352 
110 3 -0.702943 21.3042 45.8801 34.2191 
111 3 -0.737944 22.9477 19.4183 34.9255 
